what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697751591
started,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1458697752280
started,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1458697752281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697753582
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1458697753595
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1458697753607
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1458697772566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697802407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697811531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697827340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697829417
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1458697829424
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1458697836084
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1458697842357
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1458697842376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697842530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697845299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697849582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697851518
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1458697851526
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1458697892218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697893514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697897516
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1458697897691
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1458697897712
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1458697897776
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1458697897777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697898112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697931835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697952542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697952641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697952851
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1458697955715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458697968608
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458697991407
