what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1454553088548
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1454553088548
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454553088548
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1454553088548
java.vm.specification.version,sysinfo,,,"1.8",1454553088548
java.vm.vendor,sysinfo,,,"Oracle Corporation",1454553088548
java.vm.version,sysinfo,,,"25.31-b07",1454553088548
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1454553088795
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1454553088848
started,bundle,org.eclipse.sequoyah.localization.android,2.0.1.M20110913-0203,"org.eclipse.sequoyah.localization.android",1454553088859
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1454553088890
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1454553089591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454553090451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454553251966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1454553260663
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1454553263718
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1454553263742
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1454553263845
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1454553263869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454553267705
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1454553267785
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1454553277922
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1454553277929
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1454553277960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454553394081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454553402095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454553433468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1454553433482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454553439377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454554182874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454554184748
started,bundle,org.eclipse.jst.jee,1.0.402.v201202021530,"org.eclipse.jst.jee",1454554219799
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1454554220377
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1454554220772
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1454554221047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454554221501
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1454554221654
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1454554222213
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1454554222295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454554224622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454554398237
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1454554402324
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1454554405154
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1454554405196
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1454554405462
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1454554405466
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1454554405540
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1454554408061
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1454554408078
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1454554408245
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1454554408246
error,log,,,"Plug-in 'org.eclipse.sequoyah.android.cdt.build.ui' contributed an invalid Menu Extension (Path: 'com.android.ide.eclipse.adt.AndroidTools' is invalid): org.eclipse.sequoyah.android.cdt.build.ui.addNativeSupport",1454554408637
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1454554408725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454554415576
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1454554420773
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1454554420780
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1454554420924
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1454554420973
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1454554421446
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1454554477314
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1454554477319
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1454554477483
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1454554478001
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1454554478017
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1454554478044
